sha256,format,bytes,source,dataset_title,resource_name,local_path,canonical_url,url_alias_count,all_urls,referrers
f97ee8acaab1e4d21516363688b1f9d4d3c09857004349682c503161e7cfa751,CSV,542,documents,,,files\www.centralbank.ie\_long\50de54319c8a993a24d999bc\figure-6__q-c81c52a518__u-50de54319c8a.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-6.csv?sfvrsn=4b3c681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-6.csv?sfvrsn=4b3c681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
8eb46c0e29d5a00f7fa2d17946ac8cf8202cd9ca0e95a0d67f54d10aed0d2979,CSV,1212,documents,,,files\www.centralbank.ie\_long\6543d37578ab1471d57160c2\figure-7__q-ae450e9aa5__u-6543d37578ab.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-7.csv?sfvrsn=5d3c681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-7.csv?sfvrsn=5d3c681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
af157ba25e4f36827540d88e5dfd3b520c1bb88d39a471bef4b7fb96da1467a9,CSV,1941,documents,,,files\www.centralbank.ie\_long\c2c7ace444bf29e10eeaaa0e\figure-8__q-7e12b573d6__u-c2c7ace444bf.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-8.csv?sfvrsn=6f3c681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-8.csv?sfvrsn=6f3c681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
9e38dd9b3a92a4ccb4ee26e60a7f1fa5f3b603863a5b0da9b8c7a9da5b30984a,CSV,801,documents,,,files\www.centralbank.ie\_long\806a9822fc7944d629aa35a2\figure-1__q-41ace3c5c0__u-806a9822fc79.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-1.csv?sfvrsn=97596e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-1.csv?sfvrsn=97596e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
23336825a6cc2769a3785111e22cdb1621a60c5fc7df93a8c7c057d4d5e573c0,CSV,1171,documents,,,files\www.centralbank.ie\_long\086f1cabc1041b3661534dac\figure-10__q-84c465066a__u-086f1cabc104.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-10.csv?sfvrsn=bc5a6e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-10.csv?sfvrsn=bc5a6e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
be0b9bfcba9c4f3d7adbd2df1bd8ebb8c3cb6db45dcc2526db17dcc8f1f22ef1,CSV,486,documents,,,files\www.centralbank.ie\_long\0fa89e9b7631643e723673f6\figure-11__q-fc04a0bf2a__u-0fa89e9b7631.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-11.csv?sfvrsn=ab5a6e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-11.csv?sfvrsn=ab5a6e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
64345c001e1a038c0739c4d9ccaa29b2a52e9c9335fb7c98fe564810f52be985,CSV,582,documents,,,files\www.centralbank.ie\_long\494e442e89ddca32b058ee6e\figure-12__q-171ee436ed__u-494e442e89dd.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-12.csv?sfvrsn=905a6e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-12.csv?sfvrsn=905a6e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
ded3f4dfdfbdedd697602a17da7b6c671bb5716c427a4a8c74af81782771f138,CSV,4548,documents,,,files\www.centralbank.ie\_long\1ff368ccf720b6033a106ab9\figure-13__q-4c8eb752a5__u-1ff368ccf720.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-13.csv?sfvrsn=845a6e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-13.csv?sfvrsn=845a6e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
f08b495491fc13d22d9eca027aa022f7c27472b112da39c715d5829b6dd96ac2,CSV,7574,documents,,,files\www.centralbank.ie\_long\840f80508b95e083bd4e5c2a\figure-14__q-ffb4b19821__u-840f80508b95.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-14.csv?sfvrsn=da5a6e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-14.csv?sfvrsn=da5a6e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
bee8536f071f5986eaea4cafe8629285c7d54f6409902b5dc16548c07a36dc25,CSV,1660,documents,,,files\www.centralbank.ie\_long\857f42e1b6205e1e204d89b1\figure-15__q-0ac610ae0c__u-857f42e1b620.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-15.csv?sfvrsn=ed586e1a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-3-csvs/figure-15.csv?sfvrsn=ed586e1a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q3-2025
