engagement_id,engagement_type,sequence_number,snapshot_status,documents,central_bank_proposal_or_material,stakeholder_submissions,central_bank_feedback,complete_argumentative_loop,interpretation
cp147,consultation-paper,147,present,2,1,0,1,False,documents present in the 2026-08-25 crawl snapshot
cp148,consultation-paper,148,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
cp149,consultation-paper,149,absent-from-snapshot,0,0,0,0,False,"no canonical identifier found; this is a coverage gap, not proof of non-existence"
cp150,consultation-paper,150,absent-from-snapshot,0,0,0,0,False,"no canonical identifier found; this is a coverage gap, not proof of non-existence"
cp151,consultation-paper,151,present,2,2,0,0,False,documents present in the 2026-08-25 crawl snapshot
cp152,consultation-paper,152,present,7,1,5,1,True,documents present in the 2026-08-25 crawl snapshot
cp153,consultation-paper,153,present,33,4,26,3,True,documents present in the 2026-08-25 crawl snapshot
cp154,consultation-paper,154,present,17,3,13,1,True,documents present in the 2026-08-25 crawl snapshot
cp155,consultation-paper,155,absent-from-snapshot,0,0,0,0,False,"no canonical identifier found; this is a coverage gap, not proof of non-existence"
cp156,consultation-paper,156,present,2,1,0,1,False,documents present in the 2026-08-25 crawl snapshot
cp157,consultation-paper,157,present,9,2,6,1,True,documents present in the 2026-08-25 crawl snapshot
cp158,consultation-paper,158,present,57,1,55,1,True,documents present in the 2026-08-25 crawl snapshot
cp159,consultation-paper,159,present,8,1,6,1,True,documents present in the 2026-08-25 crawl snapshot
cp160,consultation-paper,160,present,25,1,23,1,True,documents present in the 2026-08-25 crawl snapshot
cp161,consultation-paper,161,present,11,1,9,1,True,documents present in the 2026-08-25 crawl snapshot
cp162,consultation-paper,162,present,17,1,15,1,True,documents present in the 2026-08-25 crawl snapshot
cp163,consultation-paper,163,present,12,1,10,1,True,documents present in the 2026-08-25 crawl snapshot
cp164,consultation-paper,164,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
cp165,consultation-paper,165,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
cp166,consultation-paper,166,present,8,1,6,1,True,documents present in the 2026-08-25 crawl snapshot
cp167,consultation-paper,167,present,6,1,4,1,True,documents present in the 2026-08-25 crawl snapshot
cp168,consultation-paper,168,absent-from-snapshot,0,0,0,0,False,"no canonical identifier found; this is a coverage gap, not proof of non-existence"
cp169,consultation-paper,169,absent-from-snapshot,0,0,0,0,False,"no canonical identifier found; this is a coverage gap, not proof of non-existence"
cp170,consultation-paper,170,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
cp171,consultation-paper,171,present,3,3,0,0,False,documents present in the 2026-08-25 crawl snapshot
dp1,discussion-paper,1,present,2,2,0,0,False,documents present in the 2026-08-25 crawl snapshot
dp2,discussion-paper,2,present,5,2,3,0,False,documents present in the 2026-08-25 crawl snapshot
dp4,discussion-paper,4,present,17,2,15,0,False,documents present in the 2026-08-25 crawl snapshot
dp5,discussion-paper,5,present,16,1,15,0,False,documents present in the 2026-08-25 crawl snapshot
dp6,discussion-paper,6,present,28,2,26,0,False,documents present in the 2026-08-25 crawl snapshot
dp7,discussion-paper,7,present,14,1,13,0,False,documents present in the 2026-08-25 crawl snapshot
dp8,discussion-paper,8,present,19,1,18,0,False,documents present in the 2026-08-25 crawl snapshot
dp9,discussion-paper,9,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
dp10,discussion-paper,10,present,49,0,48,0,False,documents present in the 2026-08-25 crawl snapshot
dp11,discussion-paper,11,present,15,2,13,0,False,documents present in the 2026-08-25 crawl snapshot
dp12,discussion-paper,12,present,1,1,0,0,False,documents present in the 2026-08-25 crawl snapshot
