source_sha256,source_url,corpus,format,engine,ocr,page_basis,pages,empty_pages,empty_page_ratio,nonspace_characters,nonspace_per_page,replacement_characters,manifest_status,extraction_grade,detail
9211878442e6c961772b517203dfb0dea76bb4b80e8894fed2b3cd6124f689e6,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-unions/communications/presentations/2015-information-seminars---opening-remarks.pdf?sfvrsn=9becd41d_6,pdf,PDF,pymupdf4llm,False,source-page,3,0,0.0,590,196.7,0,success,thin,197 non-space characters per page
b8d9a2e67b524a51460331727720c28b37a47d39fc47c19a949bbd64dd1547ac,https://www.centralbank.ie/docs/default-source/tns/events/6-ecb-dublin-keynote-slides.pdf?sfvrsn=5b85811d_2,pdf,PDF,pymupdf4llm,False,source-page,29,5,0.1724,5932,204.6,16,success,garbled,16 replacement characters over 5932 non-space characters
ecc40042b6f7961ad2589d1054f588c4c9ef0f9e154f297dba25222f15215692,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/non-solvency-ii-(life)/requirements-and-guidance/ongoing-requirements-guidance-relevant-to-life-insurance-undertakings/gns-4-4-10-2-2---assumptions---life-contracts.pdf?sfvrsn=64afd11d_2,pdf,PDF,pymupdf4llm,False,source-page,5,2,0.4,1111,222.2,0,success,gappy,2/5 pages hold under 30 non-space characters (40%)
f30f38eba3a8ff6195c1884c214977a568a8abfbd8c4ca4429d8d80bd7b99370,https://www.centralbank.ie/docs/default-source/tns/events/8-crawley_consumptionheterogeneity_slides_dublin.pdf?sfvrsn=9886811d_2,pdf,PDF,pymupdf4llm,False,source-page,67,4,0.0597,19533,291.5,54,success,garbled,54 replacement characters over 19533 non-space characters
5f1988bb0585c047fdf3f950ab4fb1b55c6fcdc28baa2e40a04f904003bbbca0,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/cooperation-agreement-between-the-competition-and-consumer-protection-commission-and-the-central-bank-of-ireland.pdf?sfvrsn=317ab01d_6,pdf,PDF,pymupdf4llm,False,source-page,11,8,0.7273,3660,332.7,0,success,gappy,8/11 pages hold under 30 non-space characters (73%)
32d12aadfd87b8e6bb4f8a3db4d4a6acbc43431400cc959155c32d930bec7407,https://www.centralbank.ie/docs/default-source/financial-system/financial-stability/events/2015/balance-sheet-recovery/mortgage-default---are-first-time-buyers-different---presentation.pdf?sfvrsn=165ea41d_2,pdf,PDF,pymupdf4llm,False,source-page,22,8,0.3636,7666,348.5,1342,success,garbled,1342 replacement characters over 7666 non-space characters
9722593eb8afc6a4f3db717b4678866a1ac5e9c22c50e4936ceabf178e20de5f,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/supervisory-disclosures/overview-of-insurance-directorate-its-supervisory-objectives.pdf?sfvrsn=5a55ad1d_12,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,855,427.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
0e04abcfd2bcaf3662bd2ec5d78a5f7394a72980eff88ce8d635fe1a4d19d277,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp102/irish-brokers-association-response-to-cp102.pdf?sfvrsn=d18fd81d_4,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,1289,429.7,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
6226b8c41c511664e7123779f5d5bc121f96bd11f7a273e1069829bc5b433082,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/records-1-4---november-2022.pdf?sfvrsn=e5029b1d_2,pdf,PDF,pymupdf4llm,False,source-page,25,10,0.4,10755,430.2,0,success,gappy,10/25 pages hold under 30 non-space characters (40%)
f60021a778a0e638b2900f1baadc6573cd99680df91195462d7267d30e8c3775,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/non-solvency-ii-(life)/requirements-and-guidance/ongoing-requirements-guidance-specific-to-non-life-insurance-undertakings/gns-4-4-10-2-2---forex-retranslation---2008.pdf?sfvrsn=52a8d11d_4,pdf,PDF,pymupdf4llm,False,source-page,5,2,0.4,2239,447.8,0,success,gappy,2/5 pages hold under 30 non-space characters (40%)
754468ee8df06a66424ae6677902594dcf89b51a24333468746fb88fac628e89,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/investment-firms/supervisory-disclosures/aggregate-statistical-data/part-4-data-on-exemptions-2025.pdf?sfvrsn=2202711a_4,pdf,PDF,pymupdf4llm,False,source-page,4,2,0.5,1794,448.5,0,success,gappy,2/4 pages hold under 30 non-space characters (50%)
9761aac68f9571ff470440502b767948f3207039cfae808af06a1b6e75871bfc,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp136/insolvency-service-or-ireland-response-to-cp136.pdf?sfvrsn=7b54921d_4,pdf,PDF,pymupdf4llm,False,source-page,2,1,0.5,905,452.5,0,success,gappy,1/2 pages hold under 30 non-space characters (50%)
8f752b4d74b1941af420d476402f2bd9f92d78fcbf6cc0ce2a252ac8a4848a30,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/non-solvency-ii-(life)/requirements-and-guidance/ongoing-requirements-guidance/guidelines-for-insurance-companies-on-the-appointment-of-a-compliance-officer.pdf?sfvrsn=a49dd11d_2,pdf,PDF,pymupdf4llm,False,source-page,5,2,0.4,2301,460.2,0,success,gappy,2/5 pages hold under 30 non-space characters (40%)
0049525f4064b5b8bbc06ec8b2f5438572e0d7e32d66460d5b9860010f963fe9,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/foi-2025-001614-schedule-of-records.pdf?sfvrsn=d464691a_2,pdf,PDF,pymupdf4llm,False,source-page,3,1,0.3333,1422,474.0,0,success,gappy,1/3 pages hold under 30 non-space characters (33%)
